studyTitle,studyYear,studyJournal,studyVolume,studyPages,eventDate,eventYear,eventLocation.country,eventLocation.degreesLat,eventLocation.minutesLat,eventLocation.secondsLat,eventLocation.degreesLon,eventLocation.minutesLon,eventLocation.secondsLon,lat,long,vertebrateClass,speciesName,Egg,Larva,Juvenile,Adult,speciesAffectedType,populationType,screeningReason,numInvolved,totalAnimalsTested,totalAnimalsConfirmedInfected,totalAnimalsConfirmedDiseased,Isolation,EM,PCR,qPCR,Sequencing,genBankAccessionNumbers,ranaSpecies,Year,speciesGenus,Genus,Order,Family
A Natural History of Ranavirus in an Eastern Box Turtle Population,2018,PLoS One,13,e0195617,08/24/2003,2003,USA,41,26,51.306,-80,1,35.7888,41.447585,-80.026608,reptile,Terrapene carolina carolina,0,0,1,1,native,wild,mortality,11_50,NA,NA,NA,1,0,1,0,0,NA,NA,2003,Terrapene,Terrapene,Testudines,Emydidae
A Natural History of Ranavirus in an Eastern Box Turtle Population,2018,PLoS One,13,e0195617,11/01/2003,2003,USA,41,26,51.306,-80,1,35.7888,41.447585,-80.026608,reptile,Terrapene carolina carolina,0,0,1,1,native,wild,mortality,2_10,NA,NA,NA,1,0,1,0,0,NA,NA,2003,Terrapene,Terrapene,Testudines,Emydidae
A Natural History of Ranavirus in an Eastern Box Turtle Population,2018,PLoS One,13,e0195617,08/26/2004,2004,USA,41,26,51.306,-80,1,35.7888,41.447585,-80.026608,reptile,Terrapene carolina carolina,0,0,1,1,native,wild,mortality,2_10,NA,NA,NA,1,0,1,0,0,NA,NA,2004,Terrapene,Terrapene,Testudines,Emydidae
A Natural History of Ranavirus in an Eastern Box Turtle Population,2018,PLoS One,13,e0195617,07/23/2005,2005,USA,41,26,51.306,-80,1,35.7888,41.447585,-80.026608,reptile,Terrapene carolina carolina,0,0,1,1,native,wild,mortality,2_10,NA,NA,NA,1,0,1,0,0,NA,NA,2005,Terrapene,Terrapene,Testudines,Emydidae
A Natural History of Ranavirus in an Eastern Box Turtle Population,2018,PLoS One,13,e0195617,07/23/2006,2006,USA,41,26,51.306,-80,1,35.7888,41.447585,-80.026608,reptile,Terrapene carolina carolina,0,0,1,1,native,wild,mortality,1,NA,NA,NA,1,0,1,0,0,NA,NA,2006,Terrapene,Terrapene,Testudines,Emydidae
A new iridovirus isolated from soft-shelled turtle,1999,Virus research,63,147-151,01/01/1997,1997,China,22,32,4.6428,114,0,0.9504,22.534623,114.000264,reptile,Trionyx sinensis,0,0,1,0,native,wild,mortality,101_500,NA,NA,NA,1,1,0,0,0,NA,NA,1997,Trionyx,Trionyx,Testudines,Trionychidae
A Ranavirus-related Mortality Event and the First Report of Ranavirus in New Jersey,2013,Herpetological Review,44,263-265,05/01/2011,2011,USA,40,3,32.9559617,-75,40,37.7288818,40.0591544,-75.677147,amphibian,Lithobates clamitans,0,1,0,0,native,wild,mortality,2_10,23,16,NA,0,0,1,1,0,NA,NA,2011,Lithobates,Rana,Anura,Ranidae
A Ranavirus-related Mortality Event and the First Report of Ranavirus in New Jersey,2013,Herpetological Review,44,263-265,05/01/2011,2011,USA,40,3,32.9559617,-75,40,37.7288818,40.0591544,-75.677147,amphibian,Anaxyrus fowleri,0,1,0,0,native,wild,mortality,1,33,11,NA,0,0,1,1,0,NA,NA,2011,Anaxyrus,Anaxyrus,Anura,Bufonidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,08/01/2002,2002,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,0,1,native,wild,mortality,40,NA,NA,NA,1,0,0,0,0,NA,NA,2002,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,06/01/2003,2003,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Ambystoma mavortium,0,1,0,0,native,wild,mortality,6,NA,NA,NA,1,0,0,0,0,NA,NA,2003,Ambystoma,Ambystoma,Urodela,Ambystomatidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,06/01/2003,2003,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Ambystoma mavortium,0,0,0,1,native,wild,mortality,2,NA,NA,NA,1,0,0,0,0,NA,NA,2003,Ambystoma,Ambystoma,Urodela,Ambystomatidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,06/24/2004,2004,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Anaxyrus boreas,0,0,0,1,native,wild,mortality,6,NA,NA,NA,1,0,0,0,0,NA,NA,2004,Anaxyrus,Anaxyrus,Anura,Bufonidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,08/01/2004,2004,USA,43,49,59.9988,-111,17,57.0012,43.833333,-111.29917,amphibian,Rana luteiventris,0,0,0,1,native,wild,mortality,10,NA,NA,NA,1,0,0,0,0,NA,NA,2004,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,07/19/2007,2007,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,1,0,0,native,wild,mortality,2,NA,NA,NA,1,0,0,0,0,NA,NA,2007,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,09/01/2007,2007,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,1,1,native,wild,mortality,21,NA,NA,NA,1,0,0,0,0,NA,NA,2007,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,07/01/2008,2008,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,1,1,native,wild,mortality,3,NA,NA,NA,1,0,0,0,0,NA,NA,2008,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,08/01/2008,2008,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,1,0,0,native,wild,mortality,10,NA,NA,NA,1,0,0,0,0,NA,NA,2008,Rana,Rana,Anura,Ranidae
Amphibian mortality events and ranavirus outbreaks in the Greater Yellowstone Ecosystem,2016,Herpetological Review,47,50-54,08/01/2008,2008,USA,44,36,0,-111,30,0,44.6,-111.5,amphibian,Rana luteiventris,0,0,1,0,native,wild,mortality,5,NA,NA,NA,1,0,0,0,0,NA,NA,2008,Rana,Rana,Anura,Ranidae
