speciesGenus,Genus,Order,Family
Acris,Acris,Anura,Hylidae
Agalychnis,Agalychnis,Anura,Phyllomedusidae
Alytes,Alytes,Anura,Alytidae
Ambystoma,Ambystoma,Urodela,Ambystomatidae
Ameiurus,Ameiurus,Siluriformes,Ictaluridae
Anaxyrus,Anaxyrus,Anura,Bufonidae
Andrias,Andrias,Urodela,Cryptobranchidae
Aneides,Aneides,Urodela,Plethodontidae
Anguilla,Anguilla,Actinopterygii,Anguillidae
Anguis,Anguis,Squamata,Anguidae
Anolis,Anolis,Squamata,Dactyloidae
Apalone,Apalone,Testudines,Trionychidae
Atelognathus,Atelognathus,Anura,Batrachylidae
Bombina,Bombina,Anura,Bombinatoridae
Bufo,Bufo,Anura,Bufonidae
Calyptocephalella,Calyptocephalella,Anura,Calyptocephalellidae
Channa,Channa,Anabantiformes,Channidae
Chelydra,Chelydra,Testudines,Chelydridae
Chlamydosaurus,Chlamydosaurus,Squamata,Agamidae
Chondropython,Chondropython,Squamata,Pythonidae
Chrysemys,Chrysemys,Testudines,Emydidae
Clemmys,Clemmys,Testudines,Emydidae
Cobitis,Cobitis,Cypriniformes,Cobitidae
Craugastor,Craugastor,Anura,Craugastoridae
Cryptobranchus,Cryptobranchus,Urodela,Cryptobranchidae
Cyclopterus,Cyclopterus,Scorpaeniformes,Cyclopteridae
Cynops,Cynops,Urodela,Salamandridae
Cyprus,Cyprinus,Cypriniformes,Cyprinidae
Cyprinus,Cyprinus,Cypriniformes,Cyprinidae
Dendrobates,Dendrobates,Anura,Dendrobatidae
Dendropsophus,Dendropsophus,Anura,Hylidae
Desmognathus,Desmognathus,Urodela,Plethodontidae
Diasporus,Diasporus,Anura,Eleutherodactylidae
Diporiphora,Diporiphora,Squamata,Agamidae
Dopasia,Dopasia,Squamata,Anguidae
Eleutherodactylus,Eleutherodactylus,Anura,Eleutherodactylidae
Emydoidea,Emydoidea,Testudines,Emydidae
Epidalea,Epidalea,Anura,Bufonidae
Epinephelus,Epinephelus,Perciformes,Serranidae
Espadarana,Espadarana,Anura,Centrolenidae
Eurycea,Eurycea,Urodela,Plethodontidae
Gadus,Gadus,Actinopterygii,Gadidae
Gasterosteus,Gasterosteus,Gasterosteiformes,Gasterosteidae
Gastrophryne,Gastrophryne,Anura,Microhylidae
Geochelone,Geochelone,Testudines,Testudinidae
Geopherus,Gopherus,Testudines,Testudinidae
Glyptemys,Glyptemys,Testudines,Emydidae
Gopherus,Gopherus,Testudines,Testudinidae
Graptemys,Graptemys,Testudines,Emydidae
Gyrinophilus,Gyrinophilus,Urodela,Plethodontidae
Hemidactylum,Hemidactylum,Urodela,Plethodontidae
Hoplobatrachus,Hoplobatrachus,Anura,Dicroglossidae
Hyalinobatrachium,Hyalinobatrachium,Anura,Centrolenidae
Hyla,Hyla,Anura,Hylidae
Hyliola,Pseudacris,Anura,Hylidae
Hypsilurus,Hypsilurus,Squamata,Agamidae
Hypsiboas,Boana,Anura,Hylidae
